Boroda Digital,"5,0",2,Култобе 4,Маркетинговое агентство,,
ТОО Vi Digital Казахстан,"4,7",6,"ул. Тимирязева, 42, КЦДС «Атакент», 15/109, 5 этаж, д.2",Медиакомпания,,http://vidigital.kz/
Boroda Digital,,,пер. Култобе 4,Маркетинговое агентство,,
IndiGo - полный комплекс digital услуг в Казахстане,,,улица Навои 58,Маркетинговое агентство,,
Digital-агентство Wunder,"4,4",7,"Республика Казахстан, город Алматы, пр. Аль-Фараби, 17, Бизнес Центр «Нурлы-Тау» строение 4Б, офис 606, 16 этаж",Рекламное агентство,,https://wunder-digital.kz/
Digital Plus,"5,0",3,"Аль-Фараби проспект, 15 к4в",Маркетинговое агентство,,https://digitalplus.kz/
Digital Strategy,,,"Садоводческое товарищество Алатау, дом 95",Рекламное агентство,,https://digitalstrategy.kz/
Trade Digital Agency,,,6VC2+RF5,Маркетинговое агентство,,
Ocean Digital,,,ул. Сатпаева 30/1,Поставщик электрооборудования,,https://oceandigital.top/
Digital агенство Алматы - SEOSHOP,"5,0",3,улица Желтоксан 87,Услуги по интернет-маркетингу,,
Digital Nomads Marketing,,,проспект Гагарина 124,Маркетинговое агентство,,https://www.instagram.com/dnm_kz/
Digital Agency|Разработка сайтов для бизнеса,,,просп. Абая 12.А,Услуги по интернет-маркетингу,,
Digital East,"1,0",1,улица Казахстан 59/1,,,
Artox Media Digital Group (AMDG) - Агентство интернет-рекламы,,,проспект Абылай Хана 81,Рекламное агентство,,https://amdg.kz/
Ocean Digital,,,улица Байтурсынова 19,Услуги по интернет-маркетингу,,https://oceandigital.top/
"""Genius Digital""","5,0",5,"БЦ ""Евроцентр, ул. Сыганак 47",Маркетинговое агентство,,https://genius-digital.kz/?utm_source=google_maps&utm_medium=free
INSIGHT Digital Agency. Интернет-реклама дорого и качественно!,"3,7",3,"ул. Жибек Жолы, 115 ул. Наурызбай батыра, 46",Рекламное агентство,,https://agencyinsight.ru/
Smart Digital,"4,8",12,Абылай-хан даңғылы 141,Рекламное агентство,,
"TOO ""WEBILS"" - Digital Marketing Agency","5,0",12,"ЖК AFD-Plaza проспект Аль-Фараби 21/7 7 блок, 4 этаж, офис 145",Услуги по интернет-маркетингу,,http://www.webils.kz/
Digital TV,,,4CM3+8RQ,,,
